Entity,Code,Year,"Land",kg
                                 Potatoes,,2010,10,100
                                 Nuts,,2010,14,100
                                 Rice,,2010,8,100
                                 Tofu,,2010,4,100
                                 Root Vegetables,,2010,6,100
                                 Maize,,2010,6,100
                                 Oatmeal,,2010,12,100
                                 Onions & Leeks,,2010,6,100
                                 Wheat & Rye,,2010,6,100
