Entity,Code,Year,Meat,GDP,Population
Afghanistan,AFG,2016,10.17999268,2057.067871,34636212
Algeria,DZA,2016,20.68979645,11826.15137,40339328
Angola,AGO,2016,21.92963409,7568.998047,29154742
Antigua and Barbuda,ATG,2016,71.80279541,19419.63281,90575
Argentina,ARG,2016,108.8588486,23189.52734,43668236
Armenia,ARM,2016,37.88810349,11303.06738,2865841
Australia,AUS,2016,122.9714737,48116.03125,24195706
Austria,AUT,2016,85.75700378,53345.74219,8736491
Azerbaijan,AZE,2016,32.83986282,14232.19238,9976254
Bahamas,BHS,2016,87.13775635,35701.23047,395986
Bangladesh,BGD,2016,4.469995499,3920.144531,159784576
Barbados,BRB,2016,70.11952209,15738.0791,278660
Belarus,BLR,2016,78.55301666,17883.12695,9708111
Belgium,BEL,2016,68.07756042,49829.92578,11316837
Belize,BLZ,2016,41.3251915,7206.952637,367327
Benin,BEN,2016,21.3698597,2961.44043,11260091
Bolivia,BOL,2016,78.0512619,8202.543945,11263016
Bosnia and Herzegovina,BIH,2016,40.94681931,13194.33105,3480985
Botswana,BWA,2016,25.11087227,15654.68164,2352419
Brazil,BRA,2016,96.76997375,14451.15332,206859584
Bulgaria,BGR,2016,56.7904129,20740.79492,7245982
Burkina Faso,BFA,2016,13.22975159,1981.42981,19275504
Burundi,BDI,2016,2.749999523,794.604248,10903329
Cambodia,KHM,2016,13.04975986,3728.099609,15624586
Cameroon,CMR,2016,13.53025532,3634.381104,23711626
Canada,CAN,2016,88.70014191,47457.58594,36113532
Cape Verde,CPV,2016,30.78188515,6482.72168,558399
Central African Republic,CAF,2016,37.7026329,884.4951782,4904182
Chad,TCD,2016,41.8609848,1687.053589,14592587
Chile,CHL,2016,87.81964874,24531.35742,18083880
China,CHN,2016,61.13998032,13399.1377,1401889664
Colombia,COL,2016,57.31994247,14194.51563,47625960
Comoros,COM,2016,22.3413105,2987.970215,746239
Congo,COG,2016,31.87002563,4544.075684,5186830
Costa Rica,CRI,2016,49.45660782,19736.66602,4945205
Cote d'Ivoire,CIV,2016,11.00012684,4615.709473,24213620
Croatia,HRV,2016,69.94646454,25944.25781,4223748
Cyprus,CYP,2016,74.83790588,36509.07031,1197889
Czechia,CZE,2016,78.73097992,37014.96094,10527584
Democratic Republic of Congo,COD,2016,3.649993896,1055.572876,81430976
Denmark,DNK,2016,78.01526642,54185.00781,5706856
Djibouti,DJI,2016,14.81813335,4709.523926,1023269
Dominica,DMA,2016,63.03742981,12154.75098,70098
Dominican Republic,DOM,2016,54.50137329,16166.61133,10527589
Ecuador,ECU,2016,49.37965775,11551.61621,16439588
Egypt,EGY,2016,27.28997993,10795.80859,99784032
El Salvador,SLV,2016,32.91928864,8309.900391,6250513
Estonia,EST,2016,67.40522766,32008.93359,1315928
Eswatini,SWZ,2016,28.44015312,8321.024414,1142529
Ethiopia,ETH,2016,7.259967804,1894.897339,105293232
Fiji,FJI,2016,40.15130234,12820.75684,918371
Finland,FIN,2016,74.17385864,46206.78906,5495217
France,FRA,2016,82.12120819,43705.14844,63989320
Gabon,GAB,2016,60.28354263,15359.74023,2086210
Gambia,GMB,2016,12.50922012,2036.877197,2317212
Georgia,GEO,2016,30.66650963,12963.74414,3771112
Germany,DEU,2016,81.81021881,51879.67188,82331432
Ghana,GHA,2016,11.94002151,4837.538086,29554298
Greece,GRC,2016,67.82883453,28239.91992,10749742
Grenada,GRD,2016,55.42747879,15614.29785,119973
Guatemala,GTM,2016,36.61982727,8206.047852,16291004
Guinea,GIN,2016,12.02955532,2253.477783,11930991
Guinea-Bissau,GNB,2016,17.17581749,1864.263062,1834554
Guyana,GUY,2016,44.93884277,11631.05664,759097
Haiti,HTI,2016,19.01004219,3116.488037,10713845
Honduras,HND,2016,33.51074219,5395.614746,9460798
Hong Kong,HKG,2016,122.6377716,58096.30078,7435925
Hungary,HUN,2016,77.7102356,28218.2793,9815106
Iceland,ISL,2016,87.13514709,54665.76563,335677
India,IND,2016,4.669999123,5851.39502,1338636288
Indonesia,IDN,2016,12.26998234,10531.11133,261850176
Iran,IRN,2016,40.1400032,14205.21191,83306232
Iraq,IRQ,2016,12.21406078,10997.38672,38697940
Ireland,IRL,2016,79.91357422,72150.03906,4715791
Israel,ISR,2016,98.30019379,38214.48438,8159015
Italy,ITA,2016,74.51991272,40837.73828,60118628
Jamaica,JAM,2016,59.2550621,9553.09668,2802699
Japan,JPN,2016,47.22990036,40754.10156,126993856
Jordan,JOR,2016,36.90889359,10036.54395,9964659
Kazakhstan,KAZ,2016,63.56035233,24210.86328,18078558
Kenya,KEN,2016,15.6701498,4145.640625,47894668
Kiribati,KIR,2016,30.03519058,2247.971191,118529
Kuwait,KWT,2016,68.14237213,54708.98047,4048090
Kyrgyzstan,KGZ,2016,31.8582859,4912.382324,6018303
Laos,LAO,2016,25.6805706,6896.127441,6891366
Latvia,LVA,2016,65.66118622,27509.17383,1973477
Lebanon,LBN,2016,29.8987484,16167.7334,6258628
Lesotho,LSO,2016,28.46943665,2776.740967,2143876
Liberia,LBR,2016,20.21093369,1565.137329,4706106
Libya,LBY,2016,37.95906448,10592.43066,6282202
Lithuania,LTU,2016,78.6421051,31925.80273,2933676
Luxembourg,LUX,2016,82.65203094,116283.7031,583355
Macao,MAC,2016,101.8492432,116519.5078,626694
Madagascar,MDG,2016,13.80979538,1565.867676,25501944
Malawi,MWI,2016,19.53971291,1453.777344,17405624
Malaysia,MYS,2016,53.58060837,25541.77148,31526414
Maldives,MDV,2016,20.30111122,17583.58789,454263
Mali,MLI,2016,23.91940308,2198.560303,18700108
Malta,MLT,2016,76.69258118,40536.74609,467717
Mauritania,MRT,2016,31.69356346,4944.568848,4051896
Mauritius,MUS,2016,51.82533646,20646.93359,1293909
Mexico,MEX,2016,66.15979767,19539.26172,121519224
Moldova,MDA,2016,35.83988571,10942.55078,3225125
Mongolia,MNG,2016,86.849823,10961.96777,3029559
Montenegro,MNE,2016,76.96673584,18797.88281,633264
Morocco,MAR,2016,34.29973221,7105.855957,35107272
Mozambique,MOZ,2016,8.790021896,1273.783691,27696500
Myanmar,MMR,2016,56.23978806,4020.24292,51892352
Namibia,NAM,2016,29.04945755,10471.2793,2323351
Nepal,NPL,2016,13.40978813,3315.814453,27861186
Netherlands,NLD,2016,69.46883392,53847.82813,17124512
New Zealand,NZL,2016,100.4942856,41672.10156,4668088
Nicaragua,NIC,2016,27.8901329,5811.805176,6389237
Niger,NER,2016,8.840089798,1151.17627,20921748
Nigeria,NGA,2016,7.839989185,5284.893066,188666928
North America,,2016,94.37705994,57944.19922,576008328
North Macedonia,MKD,2016,35.31431198,15553.43945,2110194
Norway,NOR,2016,68.47064972,63104.08203,5236591
