Entity,Code,Year,Meat,GDP,Population
Algeria,DZA,1995,18.51186943,7935.168945,28478024
Angola,AGO,1995,9.279350281,4139.640625,13912258
Antigua and Barbuda,ATG,1995,68.16635132,15628.32324,68417
Argentina,ARG,1995,90.90261078,17362.52148,34946116
Armenia,ARM,1995,22.94022179,3008.233398,3322788
Australia,AUS,1995,109.5513382,32902.76953,18003002
Austria,AUT,1995,94.57943726,40425.39453,7947293
Azerbaijan,AZE,1995,13.48233509,2976.995117,7889335
Bahamas,BHS,1995,89.90252686,34716.53906,299567
Bangladesh,BGD,1995,3.351407766,1696.567871,117793336
Barbados,BRB,1995,75.50167847,13042.61621,262309
Belarus,BLR,1995,60.54189301,5805.363281,10461694
Belize,BLZ,1995,42.70783997,5887.262695,203572
Benin,BEN,1995,11.09916592,2253.119629,6046512
Bermuda,BMU,1995,95.12650299,68313.38281,59486
Bolivia,BOL,1995,42.39032364,5050.313965,7841471
Bosnia and Herzegovina,BIH,1995,18.57489967,2053.39917,3750528
Botswana,BWA,1995,34.43616104,9232.009766,1543641
Brazil,BRA,1995,68.96508789,11254.11719,163515328
Brunei,BRN,1995,70.44565582,72446.89844,299108
Bulgaria,BGR,1995,58.35126495,11362.64648,8477584
Burkina Faso,BFA,1995,13.80016422,1076.468628,10353268
Cambodia,KHM,1995,14.25943279,1182.44751,10919528
Cameroon,CMR,1995,13.53055286,2633.529297,13211643
Cape Verde,CPV,1995,23.23010254,2546.601074,411394
Central African Republic,CAF,1995,27.5993576,1098.894531,3276707
Chad,TCD,1995,13.6211462,940.6824341,6888862
Chile,CHL,1995,56.60179901,13287.86719,14416799
China,CHN,1995,34.23623276,2391.477051,1218144384
Colombia,COL,1995,39.03281784,9400.30957,35970104
Congo,COG,1995,18.96386528,4510.633301,2742316
Costa Rica,CRI,1995,41.896595,11378,3572855
Cote d'Ivoire,CIV,1995,16.66020393,3858.691406,14299727
Croatia,HRV,1995,35.6263237,15146.7207,4807100
Cyprus,CYP,1995,85.06109619,28630.77734,862419
Czechia,CZE,1995,84.00408173,22758.59766,10311702
Denmark,DNK,1995,101.5856476,43015.67578,5235205
Dominica,DMA,1995,63.61592102,8384.489258,69224
Dominican Republic,DOM,1995,35.72083664,7396.841797,7869754
Ecuador,ECU,1995,31.47283363,8575.674805,11561683
Egypt,EGY,1995,18.58570862,6483.31543,64166908
El Salvador,SLV,1995,15.92070675,6239.39502,5748201
Estonia,EST,1995,49.39910507,12730.71777,1452777
Eswatini,SWZ,1995,25.95468903,5258.970215,953586
Ethiopia,ETH,1995,6.837133408,676.5866699,57476540
Fiji,FJI,1995,42.58138657,9019.262695,792247
Finland,FIN,1995,62.01630402,31499.80664,5107942
France,FRA,1995,98.2006073,35177.66016,57420356
Gabon,GAB,1995,58.70090103,18514.56836,1121961
Gambia,GMB,1995,6.281272888,2127.874756,1242160
Georgia,GEO,1995,27.94040298,3243.846191,4877682
Germany,DEU,1995,83.45681,39366.08984,81123264
Ghana,GHA,1995,10.83639145,2574.835938,17438882
Greece,GRC,1995,79.48257446,24920.83789,10727928
Grenada,GRD,1995,50.48561096,8665.59375,104075
Guatemala,GTM,1995,17.78388977,6033.04248,10363096
Guinea,GIN,1995,6.004718781,1594.929199,7468350
Guinea-Bissau,GNB,1995,15.06598759,2088.255371,1117229
Guyana,GUY,1995,24.71936035,6663.973145,751702
Haiti,HTI,1995,9.381907463,2841.236084,7627320
Honduras,HND,1995,20.85364723,4024.992188,5812836
Hong Kong,HKG,1995,123.6326447,34546.41406,6243859
Hungary,HUN,1995,84.8120575,16617.59375,10327171
Iceland,ISL,1995,69.83600616,33666.21094,267689
India,IND,1995,4.065467834,2104.505371,964279104
Indonesia,IDN,1995,9.718746185,5892.071777,198140160
Iran,IRN,1995,22.3300724,9319.96875,60794808
Iraq,IRQ,1995,5.679592609,4300.453125,20948856
Ireland,IRL,1995,85.08344269,32286.4043,3579486
