Entity,Code,Year,Meat,GDP,Population
Afghanistan,AFG,2013,11.60014725,2116.465332,31541216
Algeria,DZA,2013,20.68992615,11319.08301,38000628
Angola,AGO,2013,28.93023872,8140.525879,26147012
Antigua and Barbuda,ATG,2013,83.83651733,17643.13086,88512
Argentina,ARG,2013,105.9999084,24424.13672,42388268
Armenia,ARM,2013,43.44610214,10691.27637,2901386
Australia,AUS,2013,119.6904526,46744.63281,23111788
Austria,AUT,2013,90.24798584,52997.75391,8479542
Azerbaijan,AZE,2013,31.22844505,14651.69434,9614478
Bahamas,BHS,2013,97.62690735,35331.16406,385660
Bangladesh,BGD,2013,4.099988937,3349.024902,154030144
Barbados,BRB,2013,64.52320099,15088.44141,276873
Belarus,BLR,2013,86.92459106,18805.43164,9691143
Belgium,BEL,2013,69.38750458,48204.58594,11103260
Belize,BLZ,2013,43.80709839,7194.621582,344695
Benin,BEN,2013,24.38098907,2876.903809,10308730
Bolivia,BOL,2013,66.89762115,7444.490723,10743352
Bosnia and Herzegovina,BIH,2013,32.73371506,11725.25586,3617564
Botswana,BWA,2013,26.46575928,15597.61719,2217285
Brazil,BRA,2013,94.48004913,15805.22266,201721776
Bulgaria,BGR,2013,53.45932388,18911.12695,7431169
Burkina Faso,BFA,2013,15.20018482,1883.796509,17636414
Cambodia,KHM,2013,12.48972511,3191.861816,14999691
Cameroon,CMR,2013,13.63981533,3372.903809,21632852
Canada,CAN,2013,88.40116119,46704.76172,35063696
Cape Verde,CPV,2013,31.11580086,6323.376465,539949
Central African Republic,CAF,2013,36.35044861,824.9432983,4802437
Chad,TCD,2013,38.94872665,1804.32251,13216769
Chile,CHL,2013,81.95227051,24006.8125,17509926
China,CHN,2013,58.12998581,11101.93848,1376100352
Colombia,COL,2013,52.57944489,13390.48535,46237928
Comoros,COM,2013,20.49350548,3005.510742,699397
Congo,COG,2013,27.23143005,5331.904297,4828073
Costa Rica,CRI,2013,49.46884155,18233.01563,4791541
Cote d'Ivoire,CIV,2013,11.39025497,3961.828613,22469272
Croatia,HRV,2013,65.59499359,24057.80859,4308854
Cyprus,CYP,2013,77.10903168,33384.46484,1166972
Czechia,CZE,2013,73.31099701,33661.46875,10514547
Democratic Republic of Congo,COD,2013,3.57000947,972.4559326,73460032
Denmark,DNK,2013,77.05792236,51479.26563,5625393
Djibouti,DJI,2013,16.79436874,4028.432373,971761
Dominica,DMA,2013,60.75374222,11708.14453,68839
Dominican Republic,DOM,2013,48.95889664,13702.32129,10157054
Ecuador,ECU,2013,53.35839462,11818.58691,15722988
Egypt,EGY,2013,27.07010841,10290.19141,93377896
El Salvador,SLV,2013,28.41965485,7892.466309,6185641
Estonia,EST,2013,57.10707092,29525.11914,1317985
Eswatini,SWZ,2013,28.86417007,8179.81543,1118329
Ethiopia,ETH,2013,6.730014324,1545.177979,97084376
Fiji,FJI,2013,32.49493408,11429.33301,913467
Finland,FIN,2013,75.63021851,45328.57422,5438873
France,FRA,2013,86.81674194,42816.26953,63335180
Gabon,GAB,2013,61.93761063,15342.18164,1902230
Gambia,GMB,2013,6.360945702,2131.436035,2124876
Georgia,GEO,2013,29.55218124,11740.08887,3786025
Germany,DEU,2013,87.36976624,49954.17188,81680592
Ghana,GHA,2013,15.12020493,4769.072754,27525586
Greece,GRC,2013,79.23927307,27810.91211,10914501
Grenada,GRD,2013,47.90370941,13427.55176,116954
Guatemala,GTM,2013,33.79039001,7734.117676,15422663
Guinea,GIN,2013,11.17018318,2035.318604,11055433
Guinea-Bissau,GNB,2013,17.65722466,1770.476196,1697757
Guyana,GUY,2013,44.66346359,11117.52246,747424
Haiti,HTI,2013,16.82052994,3057.915527,10261205
Honduras,HND,2013,29.60160255,5113.458984,8960654
Hong Kong,HKG,2013,121.2337646,55230.85938,7296820
Hungary,HUN,2013,64.96006775,25343.71289,9894637
